url_source,url_target,page_title_target
None,http://www.bankofamerica.com,Bank of America - Banking, Credit Cards, Loans and Merrill Investing
http://www.bankofamerica.com,http://www.bankofamerica.com/smallbusiness,Small Business Banking, Credit Cards & Loans â Bank of America
http://www.bankofamerica.com,http://www.bankofamerica.com/es/,Bank of America: operaciones bancarias, tarjetas de crédito, préstamos e inversiones con Merrill
http://www.bankofamerica.com,http://www.bankofamerica.com/deposits/checking/checking-accounts/,Bank of America Advantage Banking - A Flexible Checking Account
http://www.bankofamerica.com,http://www.bankofamerica.com/deposits/savings/savings-accounts/,Savings Account - Open a Bank of America Advantage Savings Account Online
http://www.bankofamerica.com,http://www.bankofamerica.com/credit-cards/,Credit Cards: Find & Apply for a Credit Card Online at Bank of America
http://www.bankofamerica.com,http://www.bankofamerica.com/mortgage/home-mortgage/,Mortgages - Home Mortgage Loans from Bank of America
http://www.bankofamerica.com,http://www.bankofamerica.com/auto-loans/,Auto Loans & Car Financing from Bank of America
http://www.bankofamerica.com,http://www.bankofamerica.com/smallbusiness/,Small Business Banking, Credit Cards & Loans â Bank of America
http://www.bankofamerica.com,http://www.bankofamerica.com/student-banking/,Banking Accounts for Students & Resources from Bank of America
http://www.bankofamerica.com,http://www.bankofamerica.com/deposits/checking/advantage-banking/,Bank of America Advantage Banking - A Flexible Checking Account
http://www.bankofamerica.com,http://www.bankofamerica.com/smallbusiness/deposits/checking-accounts/,Business Checking Accounts | Open a Business Bank Account Online
http://www.bankofamerica.com,http://www.bankofamerica.com/online-banking/mobile-and-online-banking-features/,Mobile Banking & Online Banking Features from Bank of America
http://www.bankofamerica.com,http://www.bankofamerica.com/signature-services/,Support Before, During and After Financial Life Events
http://www.bankofamerica.com,http://www.bankofamerica.com/preferred-rewards/my-rewards/,My Rewards - All Your Bank of America Rewards in One Place
http://www.bankofamerica.com,http://www.bankofamerica.com/deposits/savings/child-savings-accounts/,Child Savings Accounts - A Savings Account for Kids
http://www.bankofamerica.com,http://www.bankofamerica.com/deposits/bank-cds/cd-accounts/,CD Accounts - Certificate of Deposit (CD) Interest Rates
http://www.bankofamerica.com,http://www.bankofamerica.com/deposits/iras/retirement-accounts/,Individual Retirement Accounts - Open an IRA Online
http://www.bankofamerica.com,http://www.bankofamerica.com/credit-cards/cash-back-credit-cards/,Cash Back Credit Cards & Cash Rewards Credit Cards
http://www.bankofamerica.com,http://www.bankofamerica.com/credit-cards/travel-credit-cards/,Travel Rewards Credit Cards: Cruise Line & Air Miles Credit Cards
http://www.bankofamerica.com,http://www.bankofamerica.com/credit-cards/low-interest-credit-cards/,Lower Interest Rate Credit Cards from Bank of America
http://www.bankofamerica.com/smallbusiness,http://www.bankofamerica.com/smallbusiness/business-financing/,Small Business Loans - Compare Loan Types and Start Your Application
http://www.bankofamerica.com/smallbusiness,http://www.bankofamerica.com/smallbusiness/merchant-services/,Merchant Services: Credit Card & Payment Processing Solutions
http://www.bankofamerica.com/smallbusiness,http://www.bankofamerica.com/smallbusiness/resources/,
http://www.bankofamerica.com/smallbusiness,http://www.bankofamerica.com/smallbusiness/deposits/checking-accounts/business-fundamentals/,Business Fundamentals® Checking Solution from Bank of America
http://www.bankofamerica.com/smallbusiness,http://www.bankofamerica.com/smallbusiness/deposits/checking-accounts/business-advantage/,Business Advantage Checking Account from Bank of America
http://www.bankofamerica.com/smallbusiness,http://www.bankofamerica.com/smallbusiness/deposits/savings-accounts/cd-accounts/,Business Certificate of Deposit (CD) Accounts from Bank of America
http://www.bankofamerica.com/smallbusiness,http://www.bankofamerica.com/smallbusiness/credit-cards/view-all-small-business-credit-cards/,Small Business Credit Cards from Bank of America
http://www.bankofamerica.com/smallbusiness,http://www.bankofamerica.com/smallbusiness/credit-cards/business-popular-credit-cards/,Popular Business Credit Cards â Must Haves for Your Small Business
http://www.bankofamerica.com/smallbusiness,http://www.bankofamerica.com/smallbusiness/credit-cards/business-cash-back-credit-cards/,Cash Back Business Credit Cards â Earn Cash Rewards
